CENTRAL,13622,70,1193,18374,44,549
SOUTHERN,25692,18,1426,29729,96,794
INGLESIDE,14008,5,2319,13139,4,1368
NORTHERN,18975,581,1879,19821,42,943
MISSION,21163,713,2063,18317,66,1195
RICHMOND,7692,15,1081,8971,9,561
PARK,8219,2,1207,9227,1,639
TENDERLOIN,12737,527,371,10588,23,112
BAYVIEW,15739,11,2121,14359,6,981
TARAVAL,11329,10,1665,11754,78,786
