German,34,0.0013676038775592293
Sandwiches/Salads/Mixed Buffet,258,0.010377700012067092
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",880,0.035396806242709467
Turkish,65,0.0026145368247455854
Creole/Cajun,3,0.00012067093037287318
Chinese/Japanese,61,0.002453642250915088
African,73,0.0029363259724065807
Middle Eastern,170,0.006838019387796147
Eastern European,75,0.0030167732593218296
Bangladeshi,35,0.0014078275210168537
Continental,64,0.002574313181287961
Jewish/Kosher,323,0.012992236836812679
Fruits/Vegetables,8,0.00032178914766099514
Indian,327,0.013153131410643176
Sandwiches,438,0.017617955834439484
Brazilian,28,0.001126262016813483
Caribbean,651,0.02618559189091348
Korean,261,0.010498370942439966
Pakistani,34,0.0013676038775592293
Creole,31,0.0012469329471863561
Australian,14,0.0005631310084067415
Polish,26,0.0010458147298982342
Pizza,1169,0.04702143920196292
Japanese,788,0.031696231044608024
Pizza/Italian,459,0.018462652347049597
Cajun,7,0.00028156550420337074
Soups & Sandwiches,53,0.0021318531032540927
Peruvian,71,0.0028558786854913317
Hawaiian,4,0.00016089457383049757
Egyptian,14,0.0005631310084067415
Caf̩/Coffee/Tea,1365,0.05490527331965729
"Ice Cream, Gelato, Yogurt, Ices",313,0.012590000402236434
Bagels/Pretzels,166,0.006677124813965649
French,359,0.014440288001287157
Mediterranean,234,0.009412332569084107
"Juice, Smoothies, Fruit Salads",319,0.01283134226298218
Polynesian,2,8.044728691524879e-05
Donuts,499,0.02007159808535457
Russian,82,0.0032983387635252
Thai,293,0.011785527533083947
Afghan,12,0.0004826837214914927
Vegetarian,104,0.004183258919592937
Seafood,165,0.006636901170508025
Hotdogs/Pretzels,22,0.0008849201560677366
Hotdogs,28,0.001126262016813483
Hamburgers,431,0.017336390330236113
Chilean,5,0.00020111821728812195
Chinese/Cuban,21,0.0008446965126101123
Filipino,25,0.0010055910864406098
Iranian,3,0.00012067093037287318
Pancakes/Waffles,20,0.0008044728691524878
Tapas,34,0.0013676038775592293
Spanish,606,0.02437552793532038
Armenian,37,0.0014882748079321024
Not Listed/Not Applicable,13,0.0005229073649491171
Vietnamese/Cambodian/Malaysia,75,0.0030167732593218296
Greek,123,0.0049475081452878
Bakery,718,0.028880576002574314
Indonesian,8,0.00032178914766099514
English,16,0.0006435782953219903
Soups,3,0.00012067093037287318
Steak,86,0.0034592333373556976
Italian,1045,0.04203370741321749
Portuguese,8,0.00032178914766099514
Irish,190,0.007642492256948634
Mexican,814,0.032742045774506255
Chinese,2395,0.09633562608101041
Czech,3,0.00012067093037287318
Delicatessen,306,0.012308434898033065
Ethiopian,15,0.0006033546518643658
Nuts/Confectionary,5,0.00020111821728812195
Moroccan,11,0.0004424600780338683
Tex-Mex,149,0.0059933228751860345
American,6077,0.24443908129198344
Other,183,0.007360926752745264
Asian,360,0.014480511644744782
Southwestern,7,0.00028156550420337074
"Bottled beverages, including water, sodas, juices, etc.",78,0.0031374441896947027
Barbecue,53,0.0021318531032540927
Chicken,442,0.017778850408269983
Salads,55,0.0022123003901693417
Californian,2,8.044728691524879e-05
Soul Food,47,0.0018905112425083464
Scandinavian,5,0.00020111821728812195
